city_name,country_code,first_online_date,shop_id,activity_days,asp,b_p1p2,commission_per_order,days_in_data,eff_online_days,is_healthy_store,ted_per_order,b_cancel_rate,online_rate,photo_rate,recurrency_rate
Mexico City,MX,2024-03-05,5764607600096972736,null,142.469120879120900000,0.026089415048485286,54.716378302548500000,14,211,205,84.557732055178900000,0.002797854977850315,0.9742685945599631,0.8734168777496334,0.4445210199862164
Merida,MX,2024-04-16,5764607528038829856,null,215.012686567164200000,0.007085378814717344,63.518059701492500000,14,36,36,68.718656716417900000,0.0,0.9418968621399175,0.8264840182648402,0.043478260869565216
Medellín,CO,2024-02-14,5764607688114442130,null,22147.481481481481500000,0.006068487212830516,5196.185185185185200000,14,14,11,13966.592592592592600000,0.0,0.7934202059202058,0.9210526315789473,0.42857142857142855
Cuernavaca,MX,2024-05-18,5764607984915972872,null,333.916666666666700000,8.615738081562321E-4,94.500000000000000000,14,14,14,10.000000000000000000,0.0,0.9434032921810699,0.9463955637707948,0.0
Mazatlan,MX,2024-05-15,5764607565141642891,null,362.871666666666700000,0.002259036144578313,105.886666666666700000,14,14,12,56.780000000000000000,0.0,0.7083003382001155,0.8888888888888888,0.0
Monterrey,MX,2024-04-02,5764607799833919527,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.05
Mexico City,MX,2024-02-14,5764607674277432189,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.8135593220338984,0.14285714285714285
Monterrey,MX,2024-06-09,5764607629893308015,null,209.580000000000000000,0.011840806929064796,55.143913043478300000,7,18,18,80.058550724637700000,0.10714285714285714,0.9466516741629185,1.0,0.0
Xalapa,MX,2024-04-26,5764607741675704078,null,93.000000000000000000,0.00411764705882353,27.000000000000000000,14,8,4,16.833333333333300000,0.14285714285714285,0.3621289386401326,0.9693877551020408,0.3191489361702128
Cali,CO,2024-01-23,5764607622930763189,null,0.000000000000000000,0.0,0.000000000000000000,14,10,10,0.000000000000000000,0.0,0.7973393801965231,0.9777777777777777,0.0
San Luis Potosi,MX,2024-01-03,5764607719219400041,null,166.577007299270100000,0.01498475688523743,45.374452554744500000,14,53,53,10.114051094890500000,0.035211267605633804,0.9135486211901306,1.0,0.21649484536082475
Mazatlan,MX,2024-04-11,5764607599316831590,null,333.683333333333300000,0.003833375926399182,95.020000000000000000,14,18,18,22.833333333333300000,0.0,0.8363819195539625,0.7908496732026143,0.0
Cuernavaca,MX,2024-03-13,5764607609303469841,null,232.975000000000000000,0.0025399129172714078,63.750000000000000000,14,14,14,6.900000000000000000,0.16666666666666666,0.9958674463937621,1.0,0.0
Monterrey,MX,2024-02-27,5764607676907261903,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.0
Leon,MX,2024-02-08,5764607694464618284,null,328.117647058823500000,0.00434449271658574,87.529411764705900000,14,15,14,0.000000000000000000,0.0,0.9066719576719576,1.0,0.2
Merida,MX,2024-04-18,5764607662327860714,null,197.941304347826100000,0.00512636028419822,56.419565217391300000,14,24,24,17.657608695652200000,0.0,0.9617777777777777,0.9696969696969697,0.4745762711864407
Bogota D.C.,CO,2024-03-06,5764607626235875314,null,25394.000000000000000000,0.0023790642347343376,8016.000000000000000000,14,13,12,19336.000000000000000000,0.0,0.7705039682539683,0.9655172413793104,0.0
Mexico City,MX,2024-02-16,5764607703306210574,null,0.000000000000000000,0.0,0.000000000000000000,14,6,0,0.000000000000000000,0.0,0.18234953703703705,0.875,0.0
Mexico City,MX,2024-06-03,5764608028096332388,null,219.946811594202900000,0.014727436721348441,61.431304347826100000,13,97,97,9.426763285024200000,0.0,0.9830176116838487,1.0,0.25
Mexico City,MX,2023-12-21,5764607631768160862,null,185.932711370262400000,0.018853572398804672,84.695335276967900000,14,52,39,129.739883381924200000,0.052486187845303865,0.7366028097062579,0.8514851485148515,0.17829457364341086
Mexico City,MX,2024-05-23,5764607866544325221,null,233.412500000000000000,0.003179650238473768,73.170000000000000000,14,7,5,73.000000000000000000,0.0,0.34853769841269844,1.0,0.1206896551724138
Medellín,CO,2024-03-14,5764607793857040379,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.26666666666666666,0.0
